token1,token2,token3,token4,token5,target
dorm,girl,?,No,.,No
girl,?,No,.,No,.
?,No,.,No,.,No
No,.,No,.,No,.
.,No,.,No,.,Interesting
No,.,No,.,Interesting,.
.,No,.,Interesting,.,How
No,.,Interesting,.,How,did
.,Interesting,.,How,did,you
Interesting,.,How,did,you,meet
.,How,did,you,meet,that
How,did,you,meet,that,girl
did,you,meet,that,girl,?
you,meet,that,girl,?,Photography
meet,that,girl,?,Photography,class
that,girl,?,Photography,class,.
girl,?,Photography,class,.,LOL
?,Photography,class,.,LOL,.
Photography,class,.,LOL,.,Apparently
class,.,LOL,.,Apparently,","
.,LOL,.,Apparently,",",I
LOL,.,Apparently,",",I,am
.,Apparently,",",I,am,attractive
Apparently,",",I,am,attractive,and
",",I,am,attractive,and,smart
I,am,attractive,and,smart,.
am,attractive,and,smart,.,Interesting
attractive,and,smart,.,Interesting,comment
and,smart,.,Interesting,comment,about
smart,.,Interesting,comment,about,yourself
.,Interesting,comment,about,yourself,.
Interesting,comment,about,yourself,.,So
comment,about,yourself,.,So,I’m
about,yourself,.,So,I’m,assuming
yourself,.,So,I’m,assuming,she—
.,So,I’m,assuming,she—,I
So,I’m,assuming,she—,I,am
I’m,assuming,she—,I,am,though
assuming,she—,I,am,though,.
she—,I,am,though,.,Type
I,am,though,.,Type,out
am,though,.,Type,out,your
though,.,Type,out,your,sentence
.,Type,out,your,sentence,","
Type,out,your,sentence,",",bro
out,your,sentence,",",bro,.
your,sentence,",",bro,.,I’m
sentence,",",bro,.,I’m,assuming—
",",bro,.,I’m,assuming—,Well
bro,.,I’m,assuming—,Well,","
.,I’m,assuming—,Well,",",anyway
I’m,assuming—,Well,",",anyway,.
assuming—,Well,",",anyway,.,How
Well,",",anyway,.,How,do
",",anyway,.,How,do,you
anyway,.,How,do,you,like
.,How,do,you,like,your
How,do,you,like,your,steak
do,you,like,your,steak,cooked
you,like,your,steak,cooked,?
like,your,steak,cooked,?,Medium
your,steak,cooked,?,Medium,rare
steak,cooked,?,Medium,rare,","
cooked,?,Medium,rare,",",or
?,Medium,rare,",",or,even
Medium,rare,",",or,even,more
rare,",",or,even,more,rare
",",or,even,more,rare,.
or,even,more,rare,.,I
even,more,rare,.,I,want
more,rare,.,I,want,it
rare,.,I,want,it,juicy
.,I,want,it,juicy,.
I,want,it,juicy,.,I
want,it,juicy,.,I,like
it,juicy,.,I,like,medium
juicy,.,I,like,medium,rare
.,I,like,medium,rare,too
I,like,medium,rare,too,.
like,medium,rare,too,.,What
medium,rare,too,.,What,would
rare,too,.,What,would,you
too,.,What,would,you,do
.,What,would,you,do,if
What,would,you,do,if,a
would,you,do,if,a,chef
you,do,if,a,chef,sucked
do,if,a,chef,sucked,out
if,a,chef,sucked,out,all
a,chef,sucked,out,all,the
chef,sucked,out,all,the,juice
sucked,out,all,the,juice,with
out,all,the,juice,with,a
all,the,juice,with,a,blender
the,juice,with,a,blender,?
juice,with,a,blender,?,I
with,a,blender,?,I,didn’t
a,blender,?,I,didn’t,get
blender,?,I,didn’t,get,it
?,I,didn’t,get,it,.
I,didn’t,get,it,.,My
didn’t,get,it,.,My,bad
get,it,.,My,bad,.
it,.,My,bad,.,I
.,My,bad,.,I,meant
My,bad,.,I,meant,","
bad,.,I,meant,",",would
.,I,meant,",",would,you
I,meant,",",would,you,still
meant,",",would,you,still,eat
",",would,you,still,eat,it
would,you,still,eat,it,if
you,still,eat,it,if,the
still,eat,it,if,the,chef
eat,it,if,the,chef,accidentally
it,if,the,chef,accidentally,made
if,the,chef,accidentally,made,it
the,chef,accidentally,made,it,well
chef,accidentally,made,it,well,done
accidentally,made,it,well,done,?
made,it,well,done,?,I
it,well,done,?,I,would
well,done,?,I,would,tell
done,?,I,would,tell,them
?,I,would,tell,them,to
I,would,tell,them,to,redo
would,tell,them,to,redo,it
tell,them,to,redo,it,.
them,to,redo,it,.,Fair
to,redo,it,.,Fair,enough
redo,it,.,Fair,enough,.
it,.,Fair,enough,.,Where
.,Fair,enough,.,Where,is
Fair,enough,.,Where,is,your
enough,.,Where,is,your,favorite
.,Where,is,your,favorite,restaurant
Where,is,your,favorite,restaurant,?
is,your,favorite,restaurant,?,I
your,favorite,restaurant,?,I,don’t
favorite,restaurant,?,I,don’t,really
restaurant,?,I,don’t,really,have
?,I,don’t,really,have,one
I,don’t,really,have,one,.
don’t,really,have,one,.,I
really,have,one,.,I,love
have,one,.,I,love,all
one,.,I,love,all,.
.,I,love,all,.,Well
I,love,all,.,Well,","
love,all,.,Well,",",favorite
all,.,Well,",",favorite,cuisine
.,Well,",",favorite,cuisine,?
Well,",",favorite,cuisine,?,Probably
",",favorite,cuisine,?,Probably,Japanese
favorite,cuisine,?,Probably,Japanese,.
cuisine,?,Probably,Japanese,.,It
?,Probably,Japanese,.,It,is
Probably,Japanese,.,It,is,fresh
Japanese,.,It,is,fresh,.
.,It,is,fresh,.,Yeah
It,is,fresh,.,Yeah,","
is,fresh,.,Yeah,",",me
fresh,.,Yeah,",",me,too
.,Yeah,",",me,too,.
Yeah,",",me,too,.,But
",",me,too,.,But,there
me,too,.,But,there,is
too,.,But,there,is,a
.,But,there,is,a,lot
But,there,is,a,lot,within
there,is,a,lot,within,the
is,a,lot,within,the,domain
a,lot,within,the,domain,of
lot,within,the,domain,of,Japanese
within,the,domain,of,Japanese,cuisine
the,domain,of,Japanese,cuisine,.
domain,of,Japanese,cuisine,.,Tonkatsu
of,Japanese,cuisine,.,Tonkatsu,?
Japanese,cuisine,.,Tonkatsu,?,More
cuisine,.,Tonkatsu,?,More,like
.,Tonkatsu,?,More,like,sushi
Tonkatsu,?,More,like,sushi,or
?,More,like,sushi,or,sashimi
More,like,sushi,or,sashimi,.
like,sushi,or,sashimi,.,Or
sushi,or,sashimi,.,Or,those
or,sashimi,.,Or,those,expensive
sashimi,.,Or,those,expensive,things
.,Or,those,expensive,things,.
Or,those,expensive,things,.,Makes
those,expensive,things,.,Makes,sense
expensive,things,.,Makes,sense,.
things,.,Makes,sense,.,What
.,Makes,sense,.,What,are
Makes,sense,.,What,are,you
sense,.,What,are,you,planning
.,What,are,you,planning,to
What,are,you,planning,to,do
are,you,planning,to,do,in
you,planning,to,do,in,the
planning,to,do,in,the,summer
to,do,in,the,summer,this
do,in,the,summer,this,year
in,the,summer,this,year,?
the,summer,this,year,?,Going
summer,this,year,?,Going,to
this,year,?,Going,to,the
year,?,Going,to,the,East
?,Going,to,the,East,Coast
Going,to,the,East,Coast,and
to,the,East,Coast,and,taking
the,East,Coast,and,taking,a
East,Coast,and,taking,a,trip
Coast,and,taking,a,trip,with
and,taking,a,trip,with,my
taking,a,trip,with,my,senior
a,trip,with,my,senior,friends
trip,with,my,senior,friends,.
with,my,senior,friends,.,I’m
my,senior,friends,.,I’m,going
senior,friends,.,I’m,going,to
friends,.,I’m,going,to,Chicago
.,I’m,going,to,Chicago,for
I’m,going,to,Chicago,for,three
going,to,Chicago,for,three,weeks
to,Chicago,for,three,weeks,.
Chicago,for,three,weeks,.,Between
for,three,weeks,.,Between,that
three,weeks,.,Between,that,and
weeks,.,Between,that,and,the
.,Between,that,and,the,end
Between,that,and,the,end,of
that,and,the,end,of,school
and,the,end,of,school,I
the,end,of,school,I,still
end,of,school,I,still,have
of,school,I,still,have,one
school,I,still,have,one,week
I,still,have,one,week,though
still,have,one,week,though,","
have,one,week,though,",",so
one,week,though,",",so,I’m
week,though,",",so,I’m,not
though,",",so,I’m,not,sure
",",so,I’m,not,sure,what
so,I’m,not,sure,what,to
I’m,not,sure,what,to,do
not,sure,what,to,do,.
sure,what,to,do,.,Same
what,to,do,.,Same,.
to,do,.,Same,.,I
do,.,Same,.,I,go
.,Same,.,I,go,to
Same,.,I,go,to,Yale
.,I,go,to,Yale,.
I,go,to,Yale,.,I
go,to,Yale,.,I,might
to,Yale,.,I,might,just
Yale,.,I,might,just,travel
.,I,might,just,travel,with
I,might,just,travel,with,my
might,just,travel,with,my,mom
just,travel,with,my,mom,.
travel,with,my,mom,.,That
with,my,mom,.,That,is
my,mom,.,That,is,a
mom,.,That,is,a,great
.,That,is,a,great,idea
That,is,a,great,idea,.
is,a,great,idea,.,I
a,great,idea,.,I,applied
great,idea,.,I,applied,to
idea,.,I,applied,to,Chicago
.,I,applied,to,Chicago,last
I,applied,to,Chicago,last,year
applied,to,Chicago,last,year,","
to,Chicago,last,year,",",but
Chicago,last,year,",",but,I
last,year,",",but,I,didn’t
year,",",but,I,didn’t,want
",",but,I,didn’t,want,to
but,I,didn’t,want,to,go
I,didn’t,want,to,go,.
didn’t,want,to,go,.,I
want,to,go,.,I,don’t
to,go,.,I,don’t,really
go,.,I,don’t,really,like
.,I,don’t,really,like,it
I,don’t,really,like,it,there
don’t,really,like,it,there,.
really,like,it,there,.,Is
like,it,there,.,Is,it
it,there,.,Is,it,because
there,.,Is,it,because,of
.,Is,it,because,of,the
Is,it,because,of,the,weather
it,because,of,the,weather,","
because,of,the,weather,",",climate
of,the,weather,",",climate,","
the,weather,",",climate,",",or
weather,",",climate,",",or,the
",",climate,",",or,the,school
climate,",",or,the,school,in
",",or,the,school,in,general
or,the,school,in,general,?
the,school,in,general,?,More
school,in,general,?,More,like
in,general,?,More,like,too
general,?,More,like,too,many
?,More,like,too,many,nerds
More,like,too,many,nerds,there
like,too,many,nerds,there,.
too,many,nerds,there,.,No
many,nerds,there,.,No,good
nerds,there,.,No,good,.
there,.,No,good,.,LOL
.,No,good,.,LOL,.
No,good,.,LOL,.,You’re
good,.,LOL,.,You’re,definitely
.,LOL,.,You’re,definitely,not
LOL,.,You’re,definitely,not,inferring
.,You’re,definitely,not,inferring,anything
You’re,definitely,not,inferring,anything,.
definitely,not,inferring,anything,.,Definitely
not,inferring,anything,.,Definitely,not
inferring,anything,.,Definitely,not,.
anything,.,Definitely,not,.,So
.,Definitely,not,.,So,what
Definitely,not,.,So,what,colleges
not,.,So,what,colleges,are
.,So,what,colleges,are,you
So,what,colleges,are,you,considering
what,colleges,are,you,considering,that
colleges,are,you,considering,that,are
are,you,considering,that,are,not
you,considering,that,are,not,","
considering,that,are,not,",",too
that,are,not,",",too,nerdy
are,not,",",too,nerdy,?
not,",",too,nerdy,?,Big
",",too,nerdy,?,Big,party
too,nerdy,?,Big,party,school
nerdy,?,Big,party,school,.
?,Big,party,school,.,But
Big,party,school,.,But,good
party,school,.,But,good,","
school,.,But,good,",",because
.,But,good,",",because,I
But,good,",",because,I,am
good,",",because,I,am,too
",",because,I,am,too,smart
because,I,am,too,smart,for
I,am,too,smart,for,them
am,too,smart,for,them,.
too,smart,for,them,.,Okay
smart,for,them,.,Okay,Joey
for,them,.,Okay,Joey,.
them,.,Okay,Joey,.,.
.,Okay,Joey,.,.,.
Okay,Joey,.,.,.,I’m
Joey,.,.,.,I’m,imagining
.,.,.,I’m,imagining,you
.,.,I’m,imagining,you,would
.,I’m,imagining,you,would,like
I’m,imagining,you,would,like,USC
imagining,you,would,like,USC,in
you,would,like,USC,in,SoCal
would,like,USC,in,SoCal,?
like,USC,in,SoCal,?,Yep
USC,in,SoCal,?,Yep,","
in,SoCal,?,Yep,",",one
SoCal,?,Yep,",",one,of
?,Yep,",",one,of,my
Yep,",",one,of,my,favorites
",",one,of,my,favorites,.
one,of,my,favorites,.,Good
of,my,favorites,.,Good,to
my,favorites,.,Good,to,know
favorites,.,Good,to,know,.
.,Good,to,know,.,Do
Good,to,know,.,Do,you
to,know,.,Do,you,think
know,.,Do,you,think,USC
.,Do,you,think,USC,will
Do,you,think,USC,will,offer
you,think,USC,will,offer,good
think,USC,will,offer,good,wagyu
USC,will,offer,good,wagyu,?
will,offer,good,wagyu,?,I
offer,good,wagyu,?,I,don’t
good,wagyu,?,I,don’t,know
wagyu,?,I,don’t,know,","
?,I,don’t,know,",",but
I,don’t,know,",",but,I
don’t,know,",",but,I,don’t
know,",",but,I,don’t,really
",",but,I,don’t,really,care
but,I,don’t,really,care,.
I,don’t,really,care,.,It
don’t,really,care,.,It,is
really,care,.,It,is,the
care,.,It,is,the,people
.,It,is,the,people,.
It,is,the,people,.,The
is,the,people,.,The,college
the,people,.,The,college,vibe
people,.,The,college,vibe,.
.,The,college,vibe,.,That
The,college,vibe,.,That,is
college,vibe,.,That,is,deep
vibe,.,That,is,deep,.
.,That,is,deep,.,Is
That,is,deep,.,Is,it
is,deep,.,Is,it,for
deep,.,Is,it,for,the
.,Is,it,for,the,same
Is,it,for,the,same,reason
it,for,the,same,reason,that
for,the,same,reason,that,you
the,same,reason,that,you,decided
same,reason,that,you,decided,to
reason,that,you,decided,to,come
that,you,decided,to,come,to
you,decided,to,come,to,Iolani
decided,to,come,to,Iolani,School
to,come,to,Iolani,School,?
come,to,Iolani,School,?,Well
to,Iolani,School,?,Well,","
Iolani,School,?,Well,",",not
School,?,Well,",",not,really
?,Well,",",not,really,.
Well,",",not,really,.,I
",",not,really,.,I,don’t
not,really,.,I,don’t,know
really,.,I,don’t,know,.
.,I,don’t,know,.,I
I,don’t,know,.,I,just
don’t,know,.,I,just,like
know,.,I,just,like,Hawaii
.,I,just,like,Hawaii,.
I,just,like,Hawaii,.,I
just,like,Hawaii,.,I,see
like,Hawaii,.,I,see,.
Hawaii,.,I,see,.,Well
.,I,see,.,Well,","
I,see,.,Well,",",I
see,.,Well,",",I,once
.,Well,",",I,once,heard
Well,",",I,once,heard,from
",",I,once,heard,from,a
I,once,heard,from,a,student
once,heard,from,a,student,from
heard,from,a,student,from,Le
from,a,student,from,Le,Jardin
a,student,from,Le,Jardin,Academy
student,from,Le,Jardin,Academy,that
from,Le,Jardin,Academy,that,Iolani
Le,Jardin,Academy,that,Iolani,School
Jardin,Academy,that,Iolani,School,is
Academy,that,Iolani,School,is,the
that,Iolani,School,is,the,most
Iolani,School,is,the,most,not-Hawaii
School,is,the,most,not-Hawaii,school
is,the,most,not-Hawaii,school,.
the,most,not-Hawaii,school,.,Well
most,not-Hawaii,school,.,Well,","
not-Hawaii,school,.,Well,",",it
school,.,Well,",",it,is
.,Well,",",it,is,fine
Well,",",it,is,fine,.
",",it,is,fine,.,I
it,is,fine,.,I,like
is,fine,.,I,like,it
fine,.,I,like,it,here
.,I,like,it,here,.
I,like,it,here,.,A
like,it,here,.,A,lot
it,here,.,A,lot,of
here,.,A,lot,of,fun
.,A,lot,of,fun,people
A,lot,of,fun,people,.
lot,of,fun,people,.,I’m
of,fun,people,.,I’m,assuming
fun,people,.,I’m,assuming,you’ve
people,.,I’m,assuming,you’ve,been
.,I’m,assuming,you’ve,been,making
I’m,assuming,you’ve,been,making,great
assuming,you’ve,been,making,great,friends
you’ve,been,making,great,friends,over
been,making,great,friends,over,here
making,great,friends,over,here,.
great,friends,over,here,.,Yeah
friends,over,here,.,Yeah,","
over,here,.,Yeah,",",yeah
here,.,Yeah,",",yeah,","
.,Yeah,",",yeah,",",yeah
Yeah,",",yeah,",",yeah,.
",",yeah,",",yeah,.,Especially
yeah,",",yeah,.,Especially,freshman
",",yeah,.,Especially,freshman,girls
yeah,.,Especially,freshman,girls,","
.,Especially,freshman,girls,",",right
Especially,freshman,girls,",",right,?
freshman,girls,",",right,?,No
girls,",",right,?,No,","
",",right,?,No,",",I
right,?,No,",",I,like
?,No,",",I,like,all
No,",",I,like,all,girls
",",I,like,all,girls,.
I,like,all,girls,.,I
like,all,girls,.,I,don’t
all,girls,.,I,don’t,discriminate
girls,.,I,don’t,discriminate,.
.,I,don’t,discriminate,.,Like
I,don’t,discriminate,.,Like,you
don’t,discriminate,.,Like,you,said
discriminate,.,Like,you,said,before
.,Like,you,said,before,.
